"","x"
"141",172.919998168945
"142",173.440002441406
"143",174.479995727539
"144",183.259994506836
"145",180.449996948242
"146",184.130004882812
"147",180.130004882812
"148",183.25
"149",197.580001831055
"150",191.149993896484
"151",192.220001220703
"152",190.410003662109
"153",191.809997558594
"154",189.190002441406
"155",193.880004882812
"156",195.279998779297
"157",207.460006713867
"158",194.770004272461
"159",192.580001831055
"160",185.520004272461
"161",185.059997558594
"162",184.509994506836
"163",186.789993286133
"164",180.539993286133
"165",185.899993896484
"166",185
"167",187.039993286133
"168",184.309997558594
"169",180.589996337891
"170",162.990005493164
"171",165.080001831055
"172",162.550003051758
"173",160.669998168945
"174",153.75
"175",160.190002441406
"176",164.309997558594
"177",161.830001831055
"178",160.309997558594
"179",160.610000610352
"180",161.199996948242
"181",170.059997558594
"182",171.789993286133
"183",169.149993896484
"184",168.539993286133
"185",172.080001831055
"186",167.979995727539
"187",166.350006103516
"188",166.520004272461
"189",173.860000610352
"190",176.889999389648
"191",180.139999389648
"192",188.869995117188
"193",185.770004272461
"194",182.899993896484
"195",184.470001220703
"196",193.169998168945
"197",201.160003662109
"198",203.929992675781
"199",207.520004272461
"200",213.970001220703
"201",217.610000610352
"202",221.309997558594
"203",224.570007324219
"204",234.860000610352
"205",244.399993896484
"206",249.830001831055
"207",258.709991455078
"208",256.790008544922
"209",255.899993896484
"210",260.540008544922
"211",274.450012207031
"212",259.459991455078
"213",264.609985351562
"214",256.600006103516
"215",241.050003051758
"216",250.210006713867
"217",256.239990234375
"218",257.5
"219",261.769989013672
"220",279.820007324219
"221",282.480010986328
"222",276.540008544922
"223",274.429992675781
"224",269.609985351562
"225",269.790008544922
"226",271.989990234375
"227",277.899993896484
"228",281.380004882812
"229",290.380004882812
"230",293.339996337891
"231",291.260009765625
"232",262.899993896484
"233",260.019989013672
"234",269.059997558594
"235",265.279998779297
"236",264.350006103516
"237",255.710006713867
"238",266.440002441406
"239",267.429992675781
"240",261.070007324219
"241",254.110000610352
"242",259.320007324219
"243",253.860000610352
"244",251.449996948242
"245",249.699996948242
"246",242.190002441406
"247",245.339996337891
"248",242.649993896484
"249",239.759994506836
"250",232.960006713867
"251",225.600006103516
"252",219.220001220703
"253",215.490005493164
"254",231.279998779297
"255",233.190002441406
"256",236.860000610352
"257",230.039993286133
"258",238.589996337891
"259",238.820007324219
"260",257.179992675781
"261",256.899993896484
"262",258.079986572266
"263",245.009994506836
"264",256.489990234375
"265",251.919998168945
"266",251.490005493164
"267",248.5
"268",273.579986572266
"269",267.480010986328
"270",271.299987792969
"271",276.040008544922
"272",274.390014648438
"273",265.279998779297
"274",266.5
"275",262.589996337891
"276",255.699996948242
"277",244.880004882812
"278",246.990005493164
"279",244.119995117188
"280",240.5
"281",246.380004882812
"282",250.220001220703
"283",251.600006103516
"284",246.529998779297
"285",261.160003662109
"286",260.049987792969
"287",260.529998779297
"288",259.670013427734
"289",263.619995117188
"290",262.989990234375
"291",258.869995117188
"292",251.119995117188
"293",253.919998168945
"294",254.850006103516
"295",242.679992675781
"296",220.110000610352
"297",211.990005493164
"298",212.080001831055
"299",216.520004272461
"300",212.419998168945
"301",205.759994506836
"302",207.300003051758
"303",197.360000610352
"304",200.839996337891
"305",205.660003662109
"306",218.509994506836
"307",219.960006713867
"308",219.270004272461
"309",222.179992675781
"310",222.110000610352
"311",209.979995727539
"312",214.649993896484
"313",223.710006713867
"314",237.410003662109
"315",242.839996337891
"316",233.589996337891
"317",234.300003051758
"318",235.600006103516
"319",241.199996948242
"320",234.210006713867
"321",235.449996948242
"322",236.080001831055
"323",246.720001220703
"324",244.139999389648
"325",240.080001831055
"326",238.830001831055
"327",235.580001831055
"328",238.720001220703
"329",239.369995117188
"330",242.639999389648
"331",243.839996337891
"332",239.740005493164
"333",237.009994506836
"334",239.289993286133
"335",251.050003051758
"336",253.5
"337",252.080001831055
"338",257.220001220703
"339",247.139999389648
"340",254.5
"341",252.539993286133
"342",256.609985351562
"343",261.440002441406
"344",253.179992675781
"345",248.479995727539
"346",248.419998168945
"347",238.449996948242
"348",237.929992675781
"349",237.490005493164
"350",240.449996948242
"351",234.960006713867
"352",233.940002441406
"353",227.220001220703
"354",218.889999389648
"355",219.910003662109
"356",215.550003051758
"357",211.880004882812
"358",212.190002441406
"359",208.800003051758
"360",209.139999389648
"361",207.830001831055
"362",182.630004882812
"363",183.25
"364",190.929992675781
"365",191.589996337891
"366",187.289993286133
"367",188.860000610352
"368",187.910003662109
"369",181.059997558594
"370",185.100006103516
"371",187.580001831055
"372",189.559997558594
"373",193.570007324219
"374",188.130004882812
"375",184.020004272461
"376",188.710006713867
"377",200.449996948242
"378",199.949996948242
"379",193.759994506836
"380",194.770004272461
"381",197.410003662109
"382",191.970001220703
"383",199.399993896484
"384",199.729995727539
"385",202.039993286133
"386",201.880004882812
"387",202.639999389648
"388",188.139999389648
"389",180.740005493164
"390",176.539993286133
"391",178.649993896484
"392",175.339996337891
"393",177.770004272461
"394",177.539993286133
"395",169.479995727539
"396",162.5
"397",163.570007324219
"398",173.800003051758
"399",171.320007324219
"400",175.660003662109
"401",172.820007324219
